Modelo,Imagen,S,M,L,XL,XXL,Talla 16,Talla 18,Talla 20,Talla 22,Talla 24,Talla 26,Talla 28
Polera 1,foto1.jpg,0,1,3,3,2,2,2,1,2,1,0,0
Polera 2,foto2.jpg,0,2,3,2,3,1,2,0,2,0,0,0
Polera 3,foto3.jpg,3,3,3,2,0,0,0,0,0,0,0,0
Polera 4,foto4.jpg,3,3,0,4,1,0,0,0,0,0,0,0
Polera 5,foto5.jpg,2,0,2,2,0,0,0,0,0,0,0,0
Polera 6,foto6.jpg,0,0,1,0,0,0,0,0,0,0,0,0
Polera 7,foto7.jpg,2,3,1,1,0,0,0,0,0,0,0,0
Polera 8,foto8.jpg,0,2,4,1,0,0,0,0,0,0,0,0
Polera 9,foto9.jpg,2,2,2,3,0,0,0,0,0,0,0,0
Polera 10,foto10.jpg,3,3,2,2,0,0,0,0,0,0,0,0
Polera 11,foto11.jpg,3,2,3,2,0,0,0,0,0,0,0,0
Polera 12,foto12.jpg,2,1,3,1,0,0,0,0,0,0,0,0
